Total symbols: 178

0: flag=0x54, name=reset_vector, address=0x0
1: flag=0x54, name=entry_function, address=0x106A0
2: flag=0x54, name=pipe_system_init, address=0x16BB0
3: flag=0x54, name=usbd_client_manager_init, address=0x1D820
4: flag=0x54, name=waitForNetworkIpConfig, address=0x2190C
5: flag=0x54, name=NetBindSocketWithRetry, address=0x21C60
6: flag=0x54, name=NetClientThreadEntry, address=0x21FEC
7: flag=0x54, name=NetServiceThreadEntry, address=0x2210C
8: flag=0x54, name=NetServiceRegister, address=0x228D8
9: flag=0x54, name=NetServiceInit, address=0x22A20
10: flag=0x54, name=HttpConnectionHandler, address=0x23394
11: flag=0x54, name=callback, address=0x2356C
12: flag=0x54, name=HttpServerInit, address=0x25B48
13: flag=0x54, name=HTTPDownloadNetworkBackup, address=0x29D7C
14: flag=0x54, name=HTTPDownloadPanelBackup, address=0x29F80
15: flag=0x54, name=HTTPDownloadProfileBackup, address=0x2A1A8
16: flag=0x54, name=HTTPDownloadFaxBackupStub, address=0x2A3BC
17: flag=0x54, name=HTTPDownloadIPsecBackup, address=0x2A3C0
18: flag=0x54, name=HTTPDownloadUserBackup, address=0x2A5C4
19: flag=0x54, name=HTTPDownloadCertRequest, address=0x2AD48
20: flag=0x54, name=HTTPDownloadCertPFX, address=0x2AD58
21: flag=0x54, name=QIOOpen, address=0x50980
22: flag=0x54, name=QIOMemOpen, address=0x514B4
23: flag=0x54, name=QIOTcpSeekUnsupported, address=0x514F4
24: flag=0x54, name=QIOTcpClose, address=0x514FC
25: flag=0x54, name=QIOTcpWrite, address=0x51598
26: flag=0x54, name=QIOTcpSelect, address=0x51678
27: flag=0x54, name=QIOTcpRead, address=0x51714
28: flag=0x54, name=QIOTcpCreate, address=0x5182C
29: flag=0x54, name=QIOFxFileSelect, address=0x54690
30: flag=0x54, name=QIOFxFileSeek, address=0x546D4
31: flag=0x54, name=QIOFxFileWrite, address=0x5480C
32: flag=0x54, name=QIOFxFileRead, address=0x54848
33: flag=0x54, name=QIOFxFileClose, address=0x54888
34: flag=0x54, name=j_TSdestroySemaphore, address=0x5E1D0
35: flag=0x54, name=j_TStakeSemaphoreForever, address=0x5E1D4
36: flag=0x54, name=j_TSmsgSend, address=0x5E204
37: flag=0x54, name=TASKINIT_thread_entry, address=0x5E348
38: flag=0x54, name=tx_kernel_enter, address=0x5E818
39: flag=0x54, name=tx_application_define, address=0x5E918
40: flag=0x54, name=TSdestroySemaphore, address=0x5ED7C
41: flag=0x54, name=TStakeSemaphoreForever, address=0x5EE74
42: flag=0x54, name=TSmsgSend, address=0x5F0D0
43: flag=0x54, name=TScreateThread, address=0x5FB74
44: flag=0x54, name=mcbMalloc, address=0x640B8
45: flag=0x54, name=malloc_1, address=0x64298
46: flag=0x54, name=mcbFree, address=0x6432C
47: flag=0x54, name=j_mcbFree, address=0x64494
48: flag=0x54, name=j_mcbFree_0, address=0x64498
49: flag=0x54, name=j_mcbFree_1, address=0x6449C
50: flag=0x54, name=LogPrintfStub, address=0x65B68
51: flag=0x54, name=taskDelay, address=0x65C04
52: flag=0x54, name=soc_early_hw_init, address=0x65D94
53: flag=0x54, name=soc_platform_init, address=0x65F88
54: flag=0x54, name=MMU_InitAndEnable, address=0x66034
55: flag=0x54, name=FCSPI_ConfigureClock, address=0x670B0
56: flag=0x54, name=FCSPI_EraseSector, address=0x672C0
57: flag=0x54, name=FCSPI_Write, address=0x67568
58: flag=0x54, name=FCSPI_Read, address=0x6768C
59: flag=0x54, name=CP15_WriteSCTLR, address=0x67994
60: flag=0x54, name=j_early_putc, address=0x67AF8
61: flag=0x54, name=_exit, address=0x67BD8
62: flag=0x54, name=j_cpu_irq_fiq_disable, address=0x67EB8
63: flag=0x54, name=j_cpu_cpsr_restore, address=0x67EC0
64: flag=0x54, name=early_putc, address=0x685F4
65: flag=0x54, name=cpu_irq_fiq_disable, address=0x694C8
66: flag=0x54, name=cpu_cpsr_restore, address=0x694E8
67: flag=0x54, name=tx_port_vector_table_install, address=0x694F0
68: flag=0x54, name=Reset_Handler, address=0x69540
69: flag=0x54, name=UINVcache_Init, address=0x79E6C
70: flag=0x54, name=TaskCreate, address=0x875F0
71: flag=0x54, name=j_mcbFree_2, address=0x98B28
72: flag=0x54, name=WaitEngineInitFinish, address=0xB538C
73: flag=0x54, name=PrintMgrInit, address=0xC086C
74: flag=0x54, name=jcu_Init, address=0xCE5F4
