Total symbols: 138

0: flag=0x54, name=pipe_system_init, address=0x16C0C
1: flag=0x54, name=usbd_client_manager_init, address=0x1DB64
2: flag=0x54, name=waitForNetworkIpConfig, address=0x21D9C
3: flag=0x54, name=NetClientThreadEntry, address=0x2246C
4: flag=0x54, name=NetServiceThreadEntry, address=0x2258C
5: flag=0x54, name=NetServiceRegister, address=0x22D58
6: flag=0x54, name=NetServiceInit, address=0x22EA0
7: flag=0x54, name=HttpConnectionHandler, address=0x23814
8: flag=0x54, name=callback, address=0x239EC
9: flag=0x54, name=HttpServerInit, address=0x25FC8
10: flag=0x54, name=HTTPDownloadPanelBackup, address=0x2B0D4
11: flag=0x54, name=HTTPDownloadFaxBackupStub, address=0x2B510
12: flag=0x54, name=QIOOpen, address=0x52D78
13: flag=0x54, name=QIOMemOpen, address=0x538AC
14: flag=0x54, name=QIOTcpSeekUnsupported, address=0x538EC
15: flag=0x54, name=QIOTcpClose, address=0x538F4
16: flag=0x54, name=QIOTcpWrite, address=0x53990
17: flag=0x54, name=QIOTcpSelect, address=0x53A70
18: flag=0x54, name=QIOTcpRead, address=0x53B0C
19: flag=0x54, name=QIOTcpCreate, address=0x53C24
20: flag=0x54, name=QIOFxFileSelect, address=0x56D50
21: flag=0x54, name=QIOFxFileSeek, address=0x56D94
22: flag=0x54, name=QIOFxFileWrite, address=0x56ECC
23: flag=0x54, name=QIOFxFileRead, address=0x56F08
24: flag=0x54, name=QIOFxFileClose, address=0x56F48
25: flag=0x54, name=TASKINIT_thread_entry, address=0x60A08
26: flag=0x54, name=tx_kernel_enter, address=0x60ED8
27: flag=0x54, name=TSdestroySemaphore, address=0x61440
28: flag=0x54, name=TStakeSemaphoreForever, address=0x61538
29: flag=0x54, name=TSmsgSend, address=0x61794
30: flag=0x54, name=TScreateThread, address=0x62238
31: flag=0x54, name=mcbMalloc, address=0x66728
32: flag=0x54, name=malloc_1, address=0x66908
33: flag=0x54, name=mcbFree, address=0x6699C
34: flag=0x54, name=j_mcbFree, address=0x66B04
35: flag=0x54, name=j_mcbFree_0, address=0x66B08
36: flag=0x54, name=j_mcbFree_1, address=0x66B0C
37: flag=0x54, name=LogPrintfStub, address=0x681B8
38: flag=0x54, name=taskDelay, address=0x68254
39: flag=0x54, name=soc_early_hw_init, address=0x683E4
40: flag=0x54, name=MMU_InitAndEnable, address=0x68684
41: flag=0x54, name=socHwPeripheralInitWait, address=0x68C70
42: flag=0x54, name=FCSPI_ConfigureClock, address=0x69700
43: flag=0x54, name=FCSPI_EraseSector, address=0x69AF0
44: flag=0x54, name=FCSPI_Write, address=0x69D98
45: flag=0x54, name=FCSPI_Read, address=0x69EAC
46: flag=0x54, name=CP15_WriteSCTLR, address=0x6A1B4
47: flag=0x54, name=j_early_putc, address=0x6A31C
48: flag=0x54, name=_exit, address=0x6A3FC
49: flag=0x54, name=early_putc, address=0x6AE18
50: flag=0x54, name=cpu_irq_fiq_disable, address=0x6B3A8
51: flag=0x54, name=cpu_cpsr_restore, address=0x6B3C8
52: flag=0x54, name=tx_port_vector_table_install, address=0x6B3D0
53: flag=0x54, name=Reset_Handler, address=0x6B420
54: flag=0x54, name=UINVcache_Init, address=0x42EC1C
55: flag=0x54, name=TaskCreate, address=0x4816B0
56: flag=0x54, name=WaitEngineInitFinish, address=0x4B1048
57: flag=0x54, name=PrintMgrInit, address=0x4C3010
58: flag=0x54, name=jcu_Init, address=0x4D3DC4
59: flag=0x54, name=lcdPanelInit, address=0x4F2948
60: flag=0x54, name=flash_nvram_init, address=0x4F9988
61: flag=0x54, name=fnsSetSockOpt, address=0x50A7D8
62: flag=0x54, name=fnsSocket, address=0x50A8C8
63: flag=0x54, name=fnsClose, address=0x50AAA4
64: flag=0x54, name=so_shutdown_internal, address=0x50B434
65: flag=0x54, name=fnsSend, address=0x50C9B8
66: flag=0x54, name=fnsRecv, address=0x50DFFC
67: flag=0x54, name=fnsBind, address=0x53D214
68: flag=0x54, name=fnsAccept, address=0x53FFC4
69: flag=0x54, name=densNVRInit, address=0x57A1F0
70: flag=0x54, name=configPrimaryNetIf, address=0x57B26C
71: flag=0x54, name=MemFindString, address=0x58DB7C
72: flag=0x54, name=DENSMain, address=0x5B11E8
73: flag=0x54, name=ioCreateOrOpen, address=0x5B33E8
74: flag=0x54, name=iosRead, address=0x5B3480
75: flag=0x54, name=iosClose, address=0x5B3518
76: flag=0x54, name=lseek, address=0x5B39A4
77: flag=0x54, name=VxMemFree, address=0x5B3FCC
78: flag=0x54, name=VxMemAllocZeroed, address=0x5B4024
79: flag=0x54, name=taskSpawn, address=0x5B4484
80: flag=0x54, name=socket, address=0x5B4D3C
81: flag=0x54, name=shutdown, address=0x5B4D50
82: flag=0x54, name=bind, address=0x5B4D64
83: flag=0x54, name=listen, address=0x5B4D84
84: flag=0x54, name=accept, address=0x5B4DA4
85: flag=0x54, name=send, address=0x5B4DB8
86: flag=0x54, name=sendto, address=0x5B4DF0
87: flag=0x54, name=recv, address=0x5B4E40
88: flag=0x54, name=recvfrom, address=0x5B4E78
89: flag=0x54, name=select, address=0x5B4EE4
90: flag=0x54, name=socketIoctlCompat, address=0x5B4F0C
91: flag=0x54, name=setsockopt, address=0x5B517C
