Total symbols: 214

0: flag=0x54, name=j_Reset_Handler, address=0x0
1: flag=0x54, name=pipe_system_init, address=0x17FF78
2: flag=0x54, name=usbd_client_manager_init, address=0x188DAC
3: flag=0x54, name=QDSPBabysitterThreadEntry, address=0x18D5BC
4: flag=0x54, name=DSPIFprolog, address=0x18E0A4
5: flag=0x54, name=scndev_initialize_inferno, address=0x19ABD8
6: flag=0x54, name=QIOMemOpen, address=0x1A21C4
7: flag=0x54, name=QIOFxFileSeek, address=0x1A2C2C
8: flag=0x54, name=QIOFxFileWrite, address=0x1A2D74
9: flag=0x54, name=QIOFxFileRead, address=0x1A2DB0
10: flag=0x54, name=QIOFxFileClose, address=0x1A2DF0
11: flag=0x54, name=TaskInitThreadEntry, address=0x1A6794
12: flag=0x54, name=tx_kernel_enter, address=0x1A7EC8
13: flag=0x54, name=_tx_initialize_kernel_enter, address=0x1A87F4
14: flag=0x54, name=_tx_thread_initialize, address=0x1A8860
15: flag=0x54, name=_tx_thread_sleep, address=0x1A8950
16: flag=0x54, name=_tx_timer_initialize, address=0x1A8C84
17: flag=0x54, name=_tx_timer_thread_entry, address=0x1A8E50
18: flag=0x54, name=_txe_thread_create, address=0x1A960C
19: flag=0x54, name=_tx_initialize_low_level, address=0x1A9AA4
20: flag=0x54, name=_tx_thread_interrupt_disable, address=0x1A9E08
21: flag=0x54, name=_tx_thread_interrupt_restore, address=0x1A9E18
22: flag=0x54, name=_tx_thread_schedule, address=0x1A9E20
23: flag=0x54, name=mcbFree, address=0x1AEEE0
24: flag=0x54, name=j_mcbFree, address=0x1AF020
25: flag=0x54, name=j_mcbFree_0, address=0x1AF024
26: flag=0x54, name=j_mcbFree_1, address=0x1AF028
27: flag=0x54, name=malloc_1, address=0x1AF2B8
28: flag=0x54, name=soc_early_hw_init, address=0x1B0CA4
29: flag=0x54, name=MMU_InitAndEnable, address=0x1B0F44
30: flag=0x54, name=socHwPeripheralInitWait, address=0x1B14D0
31: flag=0x54, name=FCSPI_ConfigureClock, address=0x1B1C44
32: flag=0x54, name=FCSPI_EraseSector, address=0x1B1E5C
33: flag=0x54, name=FCSPI_Write, address=0x1B2114
34: flag=0x54, name=FCSPI_Read, address=0x1B2248
35: flag=0x54, name=CP15_WriteSCTLR, address=0x1B2554
36: flag=0x54, name=j_early_putc, address=0x1B26C0
37: flag=0x54, name=_exit, address=0x1B27A8
38: flag=0x54, name=j_cpu_irq_fiq_disable, address=0x1B2A88
39: flag=0x54, name=j_cpu_cpsr_restore, address=0x1B2A90
40: flag=0x54, name=early_putc, address=0x1B31D4
41: flag=0x54, name=RTC_Init, address=0x1B3E90
42: flag=0x54, name=cpu_irq_fiq_disable, address=0x1B40B0
43: flag=0x54, name=cpu_cpsr_restore, address=0x1B40D0
44: flag=0x54, name=tx_port_vector_table_install, address=0x1B40D8
45: flag=0x54, name=Reset_Handler, address=0x1B4140
46: flag=0x54, name=FaxSystemInit, address=0x1BBC38
47: flag=0x54, name=FaxTaskEntry, address=0x1C6200
48: flag=0x54, name=emu_sem_Init, address=0x233DC4
49: flag=0x54, name=j__tx_thread_sleep, address=0x233DF8
50: flag=0x54, name=j__tx_thread_sleep_0, address=0x233DFC
51: flag=0x54, name=emu_tsk_Init, address=0x2343B0
52: flag=0x54, name=emu_rng_Init, address=0x234FFC
53: flag=0x54, name=JBIGBandMsgQueueTaskInit, address=0x2356C4
54: flag=0x54, name=emu_sys_Init, address=0x2357CC
55: flag=0x54, name=scndev_initialize, address=0x23585C
56: flag=0x54, name=cpyCopyServiceTaskEntry, address=0x236DBC
57: flag=0x54, name=cpyCopysrvInitialize, address=0x238F58
58: flag=0x54, name=twaInitialize, address=0x23A324
59: flag=0x54, name=scan_application_initialize, address=0x23A3DC
60: flag=0x54, name=csrIplServiceInitialize, address=0x2424D0
61: flag=0x54, name=UINVcache_Init, address=0x24FB00
62: flag=0x54, name=TaskCreate, address=0x29FF80
63: flag=0x54, name=j_mcbFree_2, address=0x2AA1C8
64: flag=0x54, name=j_hc_OpenInputChannel, address=0x2AB584
65: flag=0x54, name=hc_Init, address=0x2AB588
66: flag=0x54, name=DPOS_Init, address=0x2ACA6C
67: flag=0x54, name=PrintMgrInit, address=0x2C2DB4
68: flag=0x54, name=jcu_Init, address=0x2D1360
69: flag=0x54, name=MiniShellHandleClient, address=0x2DD8D8
70: flag=0x54, name=MiniShellCmdReceiveTaskEntry, address=0x2DDA2C
71: flag=0x54, name=MiniShellLogSendTaskEntry, address=0x2DE084
72: flag=0x54, name=MiniShellRegisterBuiltinCommands, address=0x2DE6F4
73: flag=0x54, name=MiniShell_Init, address=0x2DE7C0
74: flag=0x54, name=lcdPanelInit, address=0x2F11D8
75: flag=0x54, name=AutoTestEmailInformer_Init, address=0x2F2034
76: flag=0x54, name=TcpCmdDaemonTaskEntry, address=0x2F2A00
77: flag=0x54, name=AutoTestMonitor_Init, address=0x2F2CC8
78: flag=0x54, name=PrintfManagerThreadEntry, address=0x2F2D24
79: flag=0x54, name=init_printf, address=0x2F3068
80: flag=0x54, name=flash_nvram_init, address=0x2F61AC
81: flag=0x54, name=j_VxMemFree, address=0x2F7130
82: flag=0x54, name=j_VxMemAllocZeroed, address=0x2F7134
83: flag=0x54, name=j_VxMemAllocZeroed_0, address=0x2F7E18
84: flag=0x54, name=j_VxMemFree_0, address=0x2F7E1C
85: flag=0x54, name=WifiGetConnectionStatus, address=0x2FE3C0
86: flag=0x54, name=densNVRInit, address=0x309814
87: flag=0x54, name=WifiLinkStatusCallback, address=0x30F554
88: flag=0x54, name=DENSSelectActiveNetworkInterface, address=0x31013C
89: flag=0x54, name=DniAspHandlers_Init, address=0x3160F0
90: flag=0x54, name=websAspDefine, address=0x325384
91: flag=0x54, name=InitWebs, address=0x3256CC
92: flag=0x54, name=HttpdTaskEntry, address=0x325960
93: flag=0x54, name=IppUrlHandler, address=0x327D0C
94: flag=0x54, name=HttpdTaskInit, address=0x328028
95: flag=0x54, name=CookieTimeoutTaskEntry, address=0x329B78
96: flag=0x54, name=DENSMain, address=0x335A7C
97: flag=0x54, name=ioCreateOrOpen, address=0x337BF4
98: flag=0x54, name=iosRead, address=0x337C90
99: flag=0x54, name=iosClose, address=0x337D40
100: flag=0x54, name=lseek, address=0x338160
101: flag=0x54, name=VxMemFree, address=0x338738
102: flag=0x54, name=VxMemAllocZeroed, address=0x338790
103: flag=0x54, name=taskSpawn, address=0x338B8C
104: flag=0x54, name=socket, address=0x339410
105: flag=0x54, name=shutdown, address=0x339424
106: flag=0x54, name=bind, address=0x339438
107: flag=0x54, name=listen, address=0x339458
108: flag=0x54, name=accept, address=0x339478
109: flag=0x54, name=send, address=0x33948C
110: flag=0x54, name=sendto, address=0x3394CC
111: flag=0x54, name=recv, address=0x33951C
112: flag=0x54, name=recvfrom, address=0x33955C
113: flag=0x54, name=select, address=0x3395C8
114: flag=0x54, name=socketIoctlCompat, address=0x3395F0
115: flag=0x54, name=setsockopt, address=0x339738
116: flag=0x54, name=_tx_initialize_high_level, address=0x3B32B0
