Total symbols: 155

0: flag=0x54, name=TStakeSemaphoreForever, address=0x1B6B04
1: flag=0x54, name=j_TStakeSemaphoreForever, address=0x1B6B1C
2: flag=0x54, name=debug_printf, address=0x1B89B0
3: flag=0x54, name=TaskCreate, address=0x1B9A10
4: flag=0x54, name=jcu_Init, address=0x1BB30C
5: flag=0x54, name=_tx_initialize_low_level, address=0x1CAFE0
6: flag=0x54, name=mcbMalloc, address=0x1CED18
7: flag=0x54, name=mcbFree, address=0x1CEFA8
8: flag=0x54, name=j_mcbFree, address=0x1CF048
9: flag=0x54, name=PFHMgr_Init, address=0x1D66A8
10: flag=0x54, name=USBPrologue, address=0x1F93B4
11: flag=0x54, name=TaskInitThreadEntry, address=0x1FAB10
12: flag=0x54, name=j_nullsub_73, address=0x1FB798
13: flag=0x54, name=SyncObject_Take, address=0x1FE2A8
14: flag=0x54, name=SyncObject_Give, address=0x1FE2F4
15: flag=0x54, name=VxMemFree, address=0x1FE368
16: flag=0x54, name=VxMemAllocZeroed, address=0x1FE3E8
17: flag=0x54, name=SyncSemaphore_Create, address=0x1FE558
18: flag=0x54, name=SyncMutex_Create, address=0x1FE6CC
19: flag=0x54, name=taskSpawn, address=0x1FE72C
20: flag=0x54, name=taskDelay, address=0x1FE914
21: flag=0x54, name=socketWaitReady, address=0x204334
22: flag=0x54, name=RTOSIF_Init, address=0x206A80
23: flag=0x54, name=DPOS_Init, address=0x217F5C
24: flag=0x54, name=emul_Init, address=0x2180D4
25: flag=0x54, name=UINVcache_Init, address=0x2413AC
26: flag=0x54, name=_tx_thread_interrupt_disable, address=0x2435A8
27: flag=0x54, name=_tx_thread_interrupt_restore, address=0x2435B8
28: flag=0x54, name=_tx_initialize_kernel_enter, address=0x243700
29: flag=0x54, name=_tx_thread_initialize, address=0x24377C
30: flag=0x54, name=_tx_thread_sleep, address=0x243840
31: flag=0x54, name=_txe_mutex_get, address=0x243D9C
32: flag=0x54, name=_txe_semaphore_get, address=0x244224
33: flag=0x54, name=_txe_thread_create, address=0x244314
34: flag=0x54, name=MMU_InitIdentityMapAndEnable, address=0x245284
35: flag=0x54, name=FCSPI_EraseSector, address=0x2457F0
36: flag=0x54, name=FCSPI_WriteSector, address=0x245868
37: flag=0x54, name=FCSPI_ReadPage, address=0x245A10
38: flag=0x54, name=FCSPI_ReadSector, address=0x245A94
39: flag=0x54, name=FCSPI_Read, address=0x245AE4
40: flag=0x54, name=FCSPI_Write, address=0x245D54
41: flag=0x54, name=FCSPI_EraseRange, address=0x24621C
42: flag=0x54, name=FwLed_Init, address=0x2493AC
43: flag=0x54, name=PrintMgrInit, address=0x257074
44: flag=0x54, name=PciDataPumpTaskEntry, address=0x25D4F8
45: flag=0x54, name=PciDataPumpTask_Create, address=0x25D62C
46: flag=0x54, name=lcdPanelInit, address=0x278FF8
47: flag=0x54, name=QsrcOpen, address=0x27B104
48: flag=0x54, name=QsrcRelayOpen, address=0x27D63C
49: flag=0x54, name=socket, address=0x280534
50: flag=0x54, name=shutdown, address=0x28053C
51: flag=0x54, name=bind, address=0x280544
52: flag=0x54, name=listen, address=0x280568
53: flag=0x54, name=accept, address=0x28058C
54: flag=0x54, name=send, address=0x280594
55: flag=0x54, name=sendto, address=0x2805C8
56: flag=0x54, name=recv, address=0x28061C
57: flag=0x54, name=recvfrom, address=0x280650
58: flag=0x54, name=select, address=0x28069C
