Total symbols: 14614

0: flag=0x54, name=wrs_kernel_text_start, address=0x80008000
1: flag=0x54, name=sysWbFlush, address=0x80008044
2: flag=0x54, name=sysFpaAck, address=0x80008050
3: flag=0x54, name=sysGpInit, address=0x80008058
4: flag=0x54, name=sysCompareSet, address=0x80008064
5: flag=0x54, name=sysCompareGet, address=0x8000806C
6: flag=0x54, name=sysCountSet, address=0x80008074
7: flag=0x54, name=sysCountGet, address=0x8000807C
8: flag=0x54, name=sysPridGet, address=0x80008084
9: flag=0x54, name=sysConfigGet, address=0x8000808C
10: flag=0x54, name=sysConfigSet, address=0x80008094
11: flag=0x54, name=cacheDataInvalidate, address=0x8000809C
12: flag=0x54, name=cacheDescInvalidate, address=0x800080C8
13: flag=0x54, name=intEnable, address=0x800080D0
14: flag=0x54, name=intDisable, address=0x80008144
15: flag=0x54, name=intCRGet, address=0x800081BC
16: flag=0x54, name=intCRSet, address=0x800081E8
17: flag=0x54, name=intSRGet, address=0x80008234
18: flag=0x54, name=intSRSet, address=0x80008260
19: flag=0x54, name=intUnlock, address=0x800082D0
20: flag=0x54, name=intLock, address=0x8000831C
21: flag=0x54, name=mipsIntHookSet, address=0x80008394
22: flag=0x54, name=mipsExtndIntEnable, address=0x800083A8
23: flag=0x54, name=mipsExtndIntDisable, address=0x800083B8
24: flag=0x54, name=excStub, address=0x800083C8
25: flag=0x54, name=excIntStub, address=0x800086D4
26: flag=0x54, name=excTlbVec, address=0x80008F50
27: flag=0x54, name=excXtlbVec, address=0x80008F60
28: flag=0x54, name=excCacheVec, address=0x80008F70
29: flag=0x54, name=excNormVec, address=0x80008FA8
30: flag=0x54, name=windExit, address=0x80009134
31: flag=0x54, name=windLoadContext, address=0x80009304
32: flag=0x54, name=intExit, address=0x80009430
33: flag=0x54, name=vxTaskEntry, address=0x80009734
34: flag=0x54, name=windIntStackSet, address=0x80009750
35: flag=0x54, name=__fixunsdfsi, address=0x80009758
36: flag=0x54, name=__subdf3, address=0x80009C78
37: flag=0x54, name=__adddf3, address=0x80009CF8
38: flag=0x54, name=__muldf3, address=0x80009D6C
39: flag=0x54, name=__divdf3, address=0x8000A18C
40: flag=0x54, name=__nedf2, address=0x8000A438
41: flag=0x54, name=__gedf2, address=0x8000A4C0
42: flag=0x54, name=__floatsidf, address=0x8000A548
43: flag=0x54, name=__fixdfsi, address=0x8000A624
44: flag=0x54, name=__floatunsidf, address=0x8000A6F4
45: flag=0x54, name=__clzsi2, address=0x8000A890
46: flag=0x54, name=__pack_d, address=0x8000A93C
47: flag=0x54, name=__unpack_d, address=0x8000AC50
48: flag=0x54, name=__fpcmp_parts_d, address=0x8000AD78
49: flag=0x54, name=cache4kcReset, address=0x8000AEA4
50: flag=0x54, name=cache4kcDCFlushAll, address=0x8000B27C
51: flag=0x54, name=cache4kcDCFlush, address=0x8000B344
52: flag=0x54, name=cache4kcDCInvalidateAll, address=0x8000B3F0
53: flag=0x54, name=cache4kcDCInvalidate, address=0x8000B4B8
54: flag=0x54, name=cache4kcRomTextUpdate, address=0x8000B564
55: flag=0x54, name=cache4kcDCFlushInvalidateAll, address=0x8000B694
56: flag=0x54, name=cache4kcDCFlushInvalidate, address=0x8000B75C
57: flag=0x54, name=cache4kcICInvalidateAll, address=0x8000B808
58: flag=0x54, name=cache4kcICInvalidate, address=0x8000B8D0
59: flag=0x54, name=cache4kcPTextUpdateAll, address=0x8000B97C
60: flag=0x54, name=cache4kcPTextUpdate, address=0x8000BAE8
61: flag=0x54, name=cache4kcVirtPageFlush, address=0x8000BC24
62: flag=0x54, name=cache4kcSync, address=0x8000BE98
63: flag=0x54, name=setjmp, address=0x8000C094
64: flag=0x54, name=sigsetjmp, address=0x8000C0B8
65: flag=0x54, name=_sigCtxSave, address=0x8000C0DC
66: flag=0x54, name=_sigCtxLoad, address=0x8000C194
67: flag=0x54, name=__divdi3, address=0x8000C31C
68: flag=0x54, name=__udivdi3, address=0x8000C99C
69: flag=0x54, name=__umoddi3, address=0x8000CF80
70: flag=0x54, name=__extendsfdf2, address=0x8000D5AC
71: flag=0x54, name=__eqdf2, address=0x8000D600
72: flag=0x54, name=__gtdf2, address=0x8000D688
73: flag=0x54, name=__ltdf2, address=0x8000D710
74: flag=0x54, name=__ledf2, address=0x8000D798
75: flag=0x54, name=__make_dp, address=0x8000D820
76: flag=0x54, name=__truncdfsf2, address=0x8000D85C
77: flag=0x54, name=__unpack_f, address=0x8000D8CC
78: flag=0x54, name=__make_fp, address=0x8000D9A0
79: flag=0x54, name=__pack_f, address=0x8000D9CC
80: flag=0x54, name=usrIosExtraInit, address=0x8000DB64
81: flag=0x54, name=usrKernelExtraInit, address=0x8000DBB0
82: flag=0x54, name=usrKernelCoreInit, address=0x8000DBD4
83: flag=0x54, name=usrShowInit, address=0x8000DC18
84: flag=0x54, name=usrToolsInit, address=0x8000DC34
85: flag=0x54, name=usrNetMib2Init, address=0x8000DC3C
86: flag=0x54, name=sysStart, address=0x8000DC94
87: flag=0x54, name=usrSerialInit, address=0x8000DCD8
88: flag=0x54, name=usrKernelInit, address=0x8000DE84
89: flag=0x54, name=usrCacheEnable, address=0x8000DF2C
90: flag=0x54, name=usrInit, address=0x8000DF54
91: flag=0x54, name=sysClkInit, address=0x8000DF94
92: flag=0x54, name=usrClock, address=0x8000DFC0
93: flag=0x54, name=usrNetNdInit, address=0x8000DFC8
94: flag=0x54, name=usrNetUdpv6Init, address=0x8000E054
95: flag=0x54, name=usrNetTcpv6Init, address=0x8000E0A0
96: flag=0x54, name=usrMldInit, address=0x8000E0F4
97: flag=0x54, name=usrNetIpv6Init, address=0x8000E0FC
