Total symbols: 6562

0: flag=0x54, name=wrs_kernel_text_start, address=0x80001000
1: flag=0x54, name=sysWbFlush, address=0x800010D4
2: flag=0x54, name=sysFpaAck, address=0x800010E0
3: flag=0x54, name=sysGpInit, address=0x800010E8
4: flag=0x54, name=sysCompareSet, address=0x800010F4
5: flag=0x54, name=sysCompareGet, address=0x800010FC
6: flag=0x54, name=sysCountSet, address=0x80001104
7: flag=0x54, name=sysCountGet, address=0x8000110C
8: flag=0x54, name=sysPridGet, address=0x80001114
9: flag=0x54, name=sysConfigGet, address=0x8000111C
10: flag=0x54, name=sysConfigSet, address=0x80001124
11: flag=0x54, name=cacheDataInvalidate, address=0x8000112C
12: flag=0x54, name=cacheDescInvalidate, address=0x80001158
13: flag=0x54, name=intEnable, address=0x80001160
14: flag=0x54, name=intDisable, address=0x80001178
15: flag=0x54, name=intCRGet, address=0x800011A8
16: flag=0x54, name=intCRSet, address=0x800011BC
17: flag=0x54, name=intSRGet, address=0x800011D8
18: flag=0x54, name=intSRSet, address=0x800011EC
19: flag=0x54, name=intUnlock, address=0x8000120C
20: flag=0x54, name=intLock, address=0x80001214
21: flag=0x54, name=mipsIntHookSet, address=0x80001244
22: flag=0x54, name=mipsExtndIntEnable, address=0x80001258
23: flag=0x54, name=mipsExtndIntDisable, address=0x80001268
24: flag=0x54, name=excStub, address=0x80001278
25: flag=0x54, name=excIntStub, address=0x80001454
26: flag=0x54, name=excTlbVec, address=0x800019A0
27: flag=0x54, name=excXtlbVec, address=0x800019B0
28: flag=0x54, name=excCacheVec, address=0x800019C0
29: flag=0x54, name=excNormVec, address=0x800019F8
30: flag=0x54, name=windExit, address=0x80001A9C
31: flag=0x54, name=windLoadContext, address=0x80001B8C
32: flag=0x54, name=intExit, address=0x80001C48
33: flag=0x54, name=vxTaskEntry, address=0x80001ECC
34: flag=0x54, name=windIntStackSet, address=0x80001EE8
35: flag=0x54, name=__fixunsdfsi, address=0x80001EF0
36: flag=0x54, name=__adddf3, address=0x800022B0
37: flag=0x54, name=__subdf3, address=0x80002310
38: flag=0x54, name=__muldf3, address=0x8000237C
39: flag=0x54, name=__divdf3, address=0x800026E8
40: flag=0x54, name=__nedf2, address=0x8000290C
41: flag=0x54, name=__gedf2, address=0x800029A0
42: flag=0x54, name=__floatsidf, address=0x80002A34
43: flag=0x54, name=__fixdfsi, address=0x80002B04
44: flag=0x54, name=__pack_d, address=0x80002BE8
45: flag=0x54, name=__unpack_d, address=0x80002EB8
46: flag=0x54, name=__fpcmp_parts_d, address=0x80002FE0
47: flag=0x54, name=cacheMt7628DCFlushAll, address=0x80003188
48: flag=0x54, name=cacheMt7628DCFlush, address=0x800031FC
49: flag=0x54, name=cacheMt7628DCInvalidateAll, address=0x80003254
50: flag=0x54, name=cacheMt7628DCInvalidate, address=0x800032C8
51: flag=0x54, name=cache4kcReset, address=0x80003320
52: flag=0x54, name=cache4kcDCFlushAll, address=0x80003590
53: flag=0x54, name=cache4kcDCFlush, address=0x80003628
54: flag=0x54, name=cache4kcDCInvalidateAll, address=0x800036A4
55: flag=0x54, name=cache4kcDCInvalidate, address=0x8000373C
56: flag=0x54, name=cache4kcRomTextUpdate, address=0x800037B8
57: flag=0x54, name=cache4kcDCFlushInvalidateAll, address=0x80003888
58: flag=0x54, name=cache4kcDCFlushInvalidate, address=0x80003920
59: flag=0x54, name=cache4kcICInvalidateAll, address=0x8000399C
60: flag=0x54, name=cache4kcICInvalidate, address=0x80003A34
61: flag=0x54, name=cache4kcPTextUpdateAll, address=0x80003AB0
62: flag=0x54, name=cache4kcPTextUpdate, address=0x80003BBC
63: flag=0x54, name=cache4kcVirtPageFlush, address=0x80003C98
64: flag=0x54, name=cache4kcSync, address=0x80003DEC
65: flag=0x54, name=setjmp, address=0x80003F00
66: flag=0x54, name=sigsetjmp, address=0x80003F24
67: flag=0x54, name=_sigCtxSave, address=0x80003F48
68: flag=0x54, name=_sigCtxLoad, address=0x80003FE8
69: flag=0x54, name=__divdi3, address=0x800040B8
70: flag=0x54, name=__udivdi3, address=0x80004754
71: flag=0x54, name=__umoddi3, address=0x80004DA8
72: flag=0x54, name=__extendsfdf2, address=0x80005388
73: flag=0x54, name=__eqdf2, address=0x800053E0
74: flag=0x54, name=__gtdf2, address=0x80005474
75: flag=0x54, name=__ltdf2, address=0x80005508
76: flag=0x54, name=__ledf2, address=0x8000559C
77: flag=0x54, name=__make_dp, address=0x80005630
78: flag=0x54, name=__truncdfsf2, address=0x8000566C
79: flag=0x54, name=__unpack_f, address=0x800056E0
80: flag=0x54, name=__make_fp, address=0x800057B8
81: flag=0x54, name=__pack_f, address=0x800057E8
82: flag=0x54, name=usrGetnameinfoInit, address=0x8000599C
83: flag=0x54, name=usrNetHostTblStart, address=0x800059BC
84: flag=0x54, name=usrBootLineInit, address=0x80005A10
85: flag=0x54, name=checkInetAddrField, address=0x80005A88
86: flag=0x54, name=usrBootLineCrack, address=0x80005B34
87: flag=0x54, name=usrBootLineParse, address=0x80005BDC
88: flag=0x54, name=usrNetApplUtilInit, address=0x80005E30
89: flag=0x54, name=usrNetArpLibInit, address=0x80005E74
90: flag=0x54, name=usrNetmaskGet, address=0x80005E90
91: flag=0x54, name=usrNetDevNameGet, address=0x80005EBC
92: flag=0x54, name=usrNetBoot, address=0x80006064
93: flag=0x54, name=usrNetBsdSocket, address=0x80006098
94: flag=0x54, name=usrNetDaemonInit, address=0x80006174
95: flag=0x54, name=usrNetDomainInit, address=0x80006198
96: flag=0x54, name=usrNetEndLibInit, address=0x800061A0
97: flag=0x54, name=usrNetEther, address=0x80006298
98: flag=0x54, name=usrNetGtfInit, address=0x80006364
99: flag=0x54, name=usrNetGtfTimerStart, address=0x80006424
100: flag=0x54, name=usrNetIcmpv4Init, address=0x80006430
101: flag=0x54, name=usrNetIfInit, address=0x80006494
102: flag=0x54, name=usrNetIfconfigInit, address=0x800064C4
103: flag=0x54, name=usrNetInit, address=0x800064CC
104: flag=0x54, name=usrNetIpv4Init, address=0x800064E0
105: flag=0x54, name=usrNetLoopbackStart, address=0x80006650
106: flag=0x54, name=usrNetPoolConfig, address=0x800066B0
107: flag=0x54, name=usrNetRawv4Init, address=0x80006718
108: flag=0x54, name=usrNetRoute, address=0x80006720
109: flag=0x54, name=usrNetRouteCmdInit, address=0x80006728
110: flag=0x54, name=usrNetRouteStorageInit, address=0x80006744
111: flag=0x54, name=usrNetRtSockInit, address=0x8000674C
112: flag=0x54, name=usrNetSysctlInit, address=0x80006790
113: flag=0x54, name=usrNetTcpShowLibInit, address=0x80006798
114: flag=0x54, name=usrNetTcpv4Init, address=0x800067A0
115: flag=0x54, name=usrNetUdpShowLibInit, address=0x8000688C
116: flag=0x54, name=usrNetUdpv4Init, address=0x80006894
117: flag=0x54, name=usrClock, address=0x800068F4
118: flag=0x54, name=sysClkInit, address=0x800068FC
119: flag=0x54, name=usrCacheEnable, address=0x80006928
120: flag=0x54, name=usrKernelInit, address=0x80006950
121: flag=0x54, name=usrSerialInit, address=0x800069F8
